"domain","matched_text","replacement","n_replacements"
"gender","Nick Vallelonga","Person",11
"gender","Nicki Minaj","Person",26
"gender","Nicole Ari Parker","Person",10
"gender","Nicole Beharie","Person",11
"gender","Niko Nicotera","Person",12
"gender","Nina Arvesen","Person",20
"gender","Nina Foch","Person",10
"gender","Nina Mae McKinney","Person",39
"gender","Nino Tempo","Person",32
"gender","Nita Naldi","Person",10
"gender","Noah Keen","Person",10
"gender","Noble Johnson","Person",10
"gender","Noel Madison","Person",10
"gender","Norma Crane","Person",12
"gender","Norma Talmadge","Person",12
"gender","Norman Alden","Person",12
"gender","Norman Fell","Person",14
"gender","Norman Kerry","Person",13
"gender","Oliver Hardy","Person",18
"gender","Olivia Luccardi","Person",10
"gender","Olympia Dukakis","Person",16
"gender","Oona Laurence","Person",13
"gender","Oprah Winfrey","Person",109
"gender","Oscar Isaac","Person",26
"gender","Otto Felix","Person",45
"gender","Otto Sanchez","Person",10
"gender","Otto Waldis","Person",11
"gender","Otto Yamaoka","Person",11
"gender","Ozzie Nelson","Person",24
"gender","P. J. Ochlan","Person",10
"gender","PENN BADGLEY","Person",1
"gender","Page Kennedy","Person",21
"gender","Pamela Anderson","Person",11
"gender","Pamela Bellwood","Person",11
"gender","Pasquale Cajano","Person",22
"gender","Pat E. Johnson","Person",10
"gender","Pat Renella","Person",12
"gender","Patricia Blair","Person",11
"gender","Patricia Collinge","Person",28
"gender","Patricia Elliott","Person",11
"gender","Patricia Neal","Person",12
"gender","Patrick Adiarte","Person",10
"gender","Patrick Fabian","Person",10
"gender","Patrick Page","Person",10
"gender","Patrick Renna","Person",12
"gender","Patrick Sarniak","Person",11
"gender","Patrick Warburton","Person",10
"gender","Patrick Wayne","Person",12
"gender","Patti LuPone","Person",28
"gender","Patty Duke","Person",42
"gender","Paul Adelstein","Person",10
"gender","Paul America","Person",12
"gender","Paul Barresi","Person",11
"gender","Paul Bartel","Person",10
"gender","Paul Carafotes","Person",10
"gender","Paul De Rolf","Person",10
"gender","Paul Eiding","Person",12
"gender","Paul Fix","Person",39
"gender","Paul Hampton","Person",10
"gender","Paul Kandel","Person",10
"gender","Paul Langton","Person",11
"gender","Paul Leder","Person",34
"gender","Paul Malvern","Person",10
"gender","Paul Mantee","Person",10
"gender","Paul Marcarelli","Person",10
"gender","Paul Marco","Person",25
"gender","Paul Nakauchi","Person",13
"gender","Paul Newman","Person",37
"gender","Paul Pape","Person",10
"gender","Paul Rae","Person",11
"gender","Paul Reiser","Person",11
"gender","Paul Sand","Person",11
"gender","Paul Satterfield","Person",13
"gender","Paul Scardon","Person",10
"gender","Paul Schoeffler","Person",11
"gender","Paul Valentine","Person",11
"gender","Paula Marshall","Person",10
"gender","Paula Prentiss","Person",25
"gender","Pauley Perrette","Person",10
"gender","Pearl Bailey","Person",14
"gender","Peggie Castle","Person",12
"gender","Peggy Feury","Person",11
"gender","Peggy Lee","Person",10
"gender","Peggy Moran","Person",12
"gender","Penelope Ann Miller","Person",10
"gender","Penelope Milford","Person",10
"gender","Penn Badgley","Person",27
"gender","Penn Jillette","Person",24
"gender","Penny Marshall","Person",11
"gender","Perry Lang","Person",11
"gender","Perry N. Vekroff","Person",10
"gender","Pete Davidson","Person",17
"gender","Peter Cambor","Person",26
"gender","Peter Facinelli","Person",10
"gender","Peter Francis James","Person",10
"gender","Peter Hackes","Person",10
"gender","Peter Jessop","Person",12
"gender","Peter Lawford","Person",12
"gender","Peter MacNicol","Person",14
"gender","Peter Mamakos","Person",10
"gender","Peter Ostrum","Person",11
"gender","Peter Paige","Person",10
"gender","Peter Parros","Person",10
"gender","Peter Sarsgaard","Person",19
"gender","Philip Ahn","Person",28
"gender","Philip Baker Hall","Person",11
"gender","Philip Charles MacKenzie","Person",10
"gender","Philip Ettinger","Person",10
"gender","Philip Michael Thomas","Person",10
"gender","Philip Ng","Person",21
"gender","Philipp Karner","Person",12
"gender","Philippe De Lacy","Person",10
"gender","Phillip Alford","Person",11
"gender","Phillip Edward Van Lear","Person",10
"gender","Phillip Terry","Person",24
"gender","Phillip Van Dyke","Person",11
"gender","Phyllis Diller","Person",61
"gender","Pia Zadora","Person",10
"gender","Piper Laurie","Person",11
"gender","Pooch Hall","Person",29
"gender","Preston Bailey","Person",12
"gender","Priscilla Dean","Person",11
"gender","Priscilla Lane","Person",25
"gender","Priscilla Presley","Person",18
"gender","Queen Latifah","Person",96
"gender","Quentin Tarantino","Person",30
"gender","R. J. Adams","Person",10
"gender","R. Kelly","Person",135
"gender","Rachael Leigh Cook","Person",10
"gender","Ralph Faulkner","Person",11
"gender","Ralph Garman","Person",10
"gender","Ralph Ince","Person",32
"gender","Ralph Kellard","Person",11
"gender","Ralph Manza","Person",11
"gender","Ralph Nelson","Person",13
"gender","Ralph Peduto","Person",11
"gender","Ralph Taeger","Person",10
"gender","Ralph Waite","Person",11
"gender","Rami Malek","Person",14
"gender","Ramon Novarro","Person",30
"gender","Randall Park","Person",11
"gender","Randolph Mantooth","Person",35
"gender","Randy Gambill","Person",10
"gender","Randy Quaid","Person",27
"gender","Randy Vasquez","Person",12
"gender","Raoul Walsh","Person",42
"gender","Raphael Sbarge","Person",11
"gender","Raquel Welch","Person",60
"gender","Rashida Jones","Person",13
"gender","Ray Arthur Wang","Person",10
"gender","Ray Danton","Person",11
"gender","Ray Eberle","Person",24
"gender","Ray Gallagher","Person",12
"gender","Ray Hallor","Person",11
"gender","Ray J","Person",259
"gender","Ray Mala","Person",34
"gender","Raymond Edward Johnson","Person",10
"gender","Raymond Hackett","Person",10
"gender","Raymond St. Jacques","Person",10
"gender","Raymond Walburn","Person",11
"gender","Rebecca De Mornay","Person",10
"gender","Rebecca Gayheart","Person",11
"gender","Reed De Rouen","Person",11
"gender","Reginald VelJohnson","Person",19
"gender","Rena Sofer","Person",10
"gender","Reni Santoni","Person",10
"gender","Rex Allen","Person",39
"gender","Rex De Rosselli","Person",13
"gender","Rex Everhart","Person",10
"gender","Reynaldo Rey","Person",11
"gender","Reza Sixo Safai","Person",11
"gender","Rhodes Reason","Person",14
"gender","Rhonda Fleming","Person",12
"gender","Richard Bakalyan","Person",11
"gender","Richard Barthelmess","Person",15
"gender","Richard Carle","Person",11
"gender","Richard Carlyle","Person",13
"gender","Richard Davalos","Person",11
"gender","Richard Dawson","Person",13
"gender","Richard Eastham","Person",10
"gender","Richard Edson","Person",11
"gender","Richard Emory","Person",55
"gender","Richard Erdman","Person",10
"gender","Richard Fancy","Person",18
"gender","Richard Farnsworth","Person",19
"gender","Richard Garrick","Person",11
"gender","Richard Gilliland","Person",10
"gender","Richard Hale","Person",13
"gender","Richard John Walters","Person",10
"gender","Richard Joseph Paul","Person",10
"gender","Richard Karn","Person",10
"gender","Richard Lee Jackson","Person",10
"gender","Richard MacPherson","Person",10
"gender","Richard Marcus","Person",11
"gender","Richard Neill","Person",13
"gender","Richard Oldfield","Person",10
"gender","Richard Quine","Person",13
"gender","Richard Schiff","Person",10
"gender","Richard Talmadge","Person",11
"gender","Richard Tanne","Person",11
"gender","Rick Fitts","Person",11
"gender","Rick Jason","Person",10
"gender","Rick Malambri","Person",10
"gender","Rick Parets","Person",10
"gender","Rick Vallin","Person",10
"gender","Rick Yune","Person",10
"gender","Ricki Noel Lander","Person",10
"gender","Ricky Harris","Person",12
"gender","Ricky Jay","Person",51
"gender","Ricky Nelson","Person",27
"gender","Ricky Schroder","Person",12
"gender","Rik Van Nutter","Person",14
"gender","Rita Gam","Person",10
"gender","Rita Hayworth","Person",85
"gender","Rita Moreno","Person",43
"gender","Rita Wilson","Person",26
"gender","Rob Campbell","Person",10
"gender","Rob Niter","Person",10
"gender","Rob Paulsen","Person",27
"gender","Rob Van Dam","Person",65
"gender","Robert Agnew","Person",11
"gender","Robert Alda","Person",12
"gender","Robert Ben Garant","Person",10
"gender","Robert D. Raiford","Person",11
"gender","Robert Davi","Person",14
"gender","Robert David Hall","Person",10
"gender","Robert Edeson","Person",12
"gender","Robert Emhardt","Person",13
"gender","Robert Emmett Keane","Person",11
"gender","Robert Emmett Tansey","Person",10
"gender","Robert G. Vignola","Person",10
"gender","Robert Gaillard","Person",10
"gender","Robert Gerringer","Person",13
"gender","Robert H. Harris","Person",34
"gender","Robert Jayne","Person",10
"gender","Robert Karvelas","Person",12
"gender","Robert Kellard","Person",23
"gender","Robert La Tourneaux","Person",10
"gender","Robert Osborne","Person",18
"gender","Robert P. Kerr","Person",10
"gender","Robert Paige","Person",23
"gender","Robert Redford","Person",11
"gender","Robert Scheerer","Person",10
"gender","Robert Schwartzman","Person",11
"gender","Robert Scott Field","Person",10
"gender","Robert Thornby","Person",12
"gender","Robert V. Barron","Person",10
"gender","Robert Wagner","Person",25
"gender","Robert Walden","Person",11
"gender","Robert Wall","Person",14
"gender","Robert Warwick","Person",31
"gender","Robin Lord Taylor","Person",11
"gender","Robin Strasser","Person",10
"gender","Robin Thicke","Person",34
"gender","Robin Thomas","Person",10
"gender","Robinne Lee","Person",11
"gender","Rochelle Aytes","Person",12
"gender","Rod Dana","Person",10
"gender","Rod Webber","Person",11
"gender","Roger Bart","Person",10
"gender","Roger Fan","Person",35
"gender","Roger Imhof","Person",12
"gender","Rohn Thomas","Person",10
"gender","Roland Varno","Person",10
"gender","Rolf Saxon","Person",10
"gender","Roma Downey","Person",11
"gender","Ron Balicki","Person",77
"gender","Ron Fassler","Person",11
"gender","Ron Nummi","Person",10
"gender","Ron Randell","Person",29
"gender","Ron Van Clief","Person",49
"gender","Ron Vawter","Person",11
"gender","Ronald Reagan","Person",53
"gender","Ronald Tavel","Person",10
"gender","Ronan Carter","Person",10
"gender","Ronn Carroll","Person",11
"gender","Ronnie Kerr","Person",10
"gender","Ronnie Warner","Person",10
"gender","Rooney Mara","Person",13
"gender","Rory Calhoun","Person",10
"gender","Rory Mallinson","Person",10
"gender","Rosalind Russell","Person",23
"gender","Roscoe Karns","Person",10
"gender","Roscoe Orman","Person",26
"gender","Rose Marie","Person",22
"gender","Rose McGowan","Person",11
"gender","Rosemary Clooney","Person",34
"gender","Rosemary Murphy","Person",13
"gender","Roshon Fegan","Person",10
"gender","Ross Alexander","Person",11
"gender","Ross Bagdasarian","Person",11
"gender","Ross Bagley","Person",11
"gender","Ross Hagen","Person",11
"gender","Ross Partridge","Person",12
"gender","Ross Patterson","Person",26
"gender","Roy Barcroft","Person",12
"gender","Roy Engel","Person",10
"gender","Roy Fegan","Person",13
"gender","Roy Thinnes","Person",10
"gender","Rudolph Schildkraut","Person",11
"gender","Rudy De Luca","Person",10
"gender","Rudy Ramos","Person",12
"gender","Rue McClanahan","Person",10
"gender","Russ Marin","Person",10
"gender","Russ Parr","Person",11
"gender","Russell Sams","Person",10
"gender","Russell Thaw","Person",11
"gender","Russell Thorson","Person",12
"gender","Rusty Jacobs","Person",11
"gender","Ruth Chatterton","Person",11
"gender","Ruth Gordon","Person",12
"gender","Ruth Roman","Person",13
"gender","Ryan Malaty","Person",10
"gender","Ryan Ochoa","Person",10
"gender","S. John Launer","Person",11
"gender","STEVE REEVES","Person",24
"gender","Sabu Dastagir","Person",12
"gender","Sadie Calvano","Person",12
"gender","Sal Jenco","Person",11
"gender","Sally Forrest","Person",30
"gender","Sally Kellerman","Person",10
"gender","Sally Kirkland","Person",10
"gender","Salma Hayek","Person",23
"gender","Sam Elliott","Person",17
"gender","Sam Gifaldi","Person",10
"gender","Sam Hargrave","Person",10
"gender","Sam Maccarone","Person",11
"gender","Sam Pancake","Person",11
"gender","Sam Peckinpah","Person",35
"gender","Sami Gayle","Person",11
"gender","Sammy Blum","Person",13
"gender","Sammy Davis Jr.","Person",31
"gender","Sammy Jackson","Person",21
"gender","Samuel L. Jackson","Person",29
"gender","Sandra Dee","Person",27
"gender","Sandra Giles","Person",12
"gender","Sandy Johnson","Person",11
"gender","Sara Gilbert","Person",11
"gender","Sara Haden","Person",26
"gender","Sara Michael Foster","Person",11
"gender","Sara Paxton","Person",10
"gender","Sara Ramirez","Person",29
"gender","Sarah Chalke","Person",11
"gender","Sarah Clarke","Person",10
"gender","Sarah Jessica Parker","Person",29
"gender","Sarah Silverman","Person",17
"gender","Sarah Sokolovic","Person",10
"gender","Sasha Jenson","Person",10
"gender","Sawyer Barth","Person",11
"gender","Scarlett Johansson","Person",10
"gender","Scott Adsit","Person",11
"gender","Scott Bakula","Person",11
"gender","Scott Eastwood","Person",11
"gender","Scott Lawrence","Person",10
"gender","Scott MacArthur","Person",10
"gender","Scott Michael Campbell","Person",10
"gender","Scott Paulin","Person",10
"gender","Scott Pembroke","Person",11
"gender","Scott Reeves","Person",10
"gender","Scott Takeda","Person",10
"gender","Sean Carrigan","Person",10
"gender","Sean Garrison","Person",12
"gender","Sean Giambrone","Person",10
"gender","Sean Hampton","Person",10
"gender","Sean Kanan","Person",27
"gender","Sean Patrick Flanery","Person",10
"gender","Sean Patrick Thomas","Person",11
"gender","Sean Young","Person",13
"gender","Season Hubley","Person",10
"gender","Sebastian Maniscalco","Person",10
"gender","Selena Gomez","Person",23
"gender","Sergio Carlo","Person",22
"gender","Seth Gandrud","Person",10
"gender","Seth Landau","Person",10
"gender","Seth MacFarlane","Person",24
"gender","Seth Numrich","Person",10
"gender","Shakiem Evans","Person",10
"gender","Shane Van Dyke","Person",10
"gender","Shannon Elizabeth","Person",10
"gender","Shari Headley","Person",10
"gender","Sharon Case","Person",11
"gender","Sharon Farrell","Person",27
"gender","Sharon Stone","Person",12
"gender","Shawn Wayans","Person",13
"gender","Shea Kerry","Person",21
"gender","Sheldon Allman","Person",11
"gender","Shelley Hack","Person",14
"gender","Shelley Morrison","Person",10
"gender","Shelley Winters","Person",28
"gender","Shera Danese","Person",10
"gender","Sherilyn Fenn","Person",20
"gender","Sheryl Lee","Person",15
"gender","Shirley Booth","Person",11
"gender","Shirley Knight","Person",11
"gender","Shirley MacLaine","Person",12
"gender","Shirley Temple","Person",50
"gender","Shug Fisher","Person",10
"gender","Sid Davis","Person",66
"gender","Simenona Martinez","Person",11
"gender","Simon Oakland","Person",24
"gender","Simon Rex","Person",11
"gender","Sissy Spacek","Person",12
"gender","Slim Gaut","Person",12
"gender","Soleil Moon Frye","Person",10
"gender","Sonja Sohn","Person",10
"gender","Sophia Takal","Person",11
"gender","Spottiswoode Aitken","Person",11
"gender","Staci Keanan","Person",11
"gender","Stacy Harris","Person",10
"gender","Stana Katic","Person",10
"gender","Stanley Kamel","Person",13
"gender","Stefan Gierasch","Person",10
"gender","Stelio Savante","Person",10
"gender","Stella Stevens","Person",10
"gender","Stephanie Courtney","Person",10
"gender","Stephanie Niznik","Person",10
"gender","Stephanie Zimbalist","Person",10
"gender","Stephen Lang","Person",12
"gender","Stephen Nichols","Person",10
"gender","Stephen Rannazzisi","Person",10
"gender","Stephen Yoakam","Person",10
"gender","Steve Agee","Person",14
"gender","Steve Bannos","Person",10
"gender","Steve Barton","Person",28
"gender","Steve Calvert","Person",10
"gender","Steve Cardenas","Person",10
"gender","Steve Daskewisz","Person",10
"gender","Steve J. Palmer","Person",11
"gender","Steve Kahan","Person",12
"gender","Steve Pendleton","Person",11
"gender","Steve Raines","Person",12
"gender","Steve Reeves","Person",47
"gender","Steve Reevis","Person",12
"gender","Steve Sandor","Person",10
"gender","Steve Talley","Person",14
"gender","Steve Van Wormer","Person",11
"gender","Steve Zissis","Person",11
"gender","Steven Barr","Person",10
"gender","Steven Christopher Parker","Person",10
"gender","Steven Geray","Person",11
"gender","Steven Keats","Person",12
"gender","Steven Michael Quezada","Person",10
"gender","Steven Pasquale","Person",11
"gender","Stoney Jackson","Person",11
"gender","Storm Reid","Person",11
"gender","Stuart Allan","Person",10
"gender","Stuart Erwin","Person",12
"gender","Stuart Margolin","Person",10
"gender","Stuart Nisbet","Person",11
"gender","Stuart Pankin","Person",12
"gender","Stubby Kaye","Person",10
"gender","Sue Carol","Person",61
"gender","Sullivan Walker","Person",15
"gender","Sunset Carson","Person",13
"gender","Susan Flannery","Person",10
"gender","Susan Hayward","Person",30
"gender","Susan Oliver","Person",23
"gender","Susan Peters","Person",10
"gender","Susan Saint James","Person",11
"gender","Susan Seaforth Hayes","Person",10
"gender","Susan Ward","Person",10
"gender","Sutton Foster","Person",13
"gender","Suzanne Pleshette","Person",25
"gender","Suzanne Rogers","Person",11
"gender","Suzanne Somers","Person",11
"gender","Suzanne Whang","Person",11
"gender","Suzy Parker","Person",42
"gender","Sydney Lassick","Person",11
"gender","Sydney Tamiia Poitier","Person",10
"gender","Sydney Walker","Person",11
"gender","Sylvia Sidney","Person",11
"gender","Takayo Fischer","Person",11
"gender","Talia Balsam","Person",11
"gender","Tammany Young","Person",10
"gender","Tara Buck","Person",10
"gender","Tara Reid","Person",11
"gender","Tarantula Ghoul","Person",46
"gender","Tasha Smith","Person",10
"gender","Tawny Cypress","Person",20
"gender","Taylor Cole","Person",11
"gender","Taylor Nichols","Person",11
"gender","Ted Danson","Person",13
"gender","Ted Mapes","Person",11
"gender","Ted North","Person",11
"gender","Ted Thurston","Person",11
"gender","Teddy Infuhr","Person",10
"gender","Tefft Johnson","Person",10
"gender","Tehran Von Ghasri","Person",11
"gender","Terrance Zdunich","Person",10
"gender","Terrell Tilford","Person",10
"gender","Terry Carter","Person",22
"gender","Terry Notary","Person",10
"gender","Thelma Carpenter","Person",13
"gender","Theodore von Eltz","Person",12
"gender","Theresa Merritt","Person",11
"gender","Thomas G. Waites","Person",11
"gender","Thomas Ian Nicholas","Person",12
"gender","Thomas J. Hageboeck","Person",10
"gender","Thomas Sadoski","Person",22
"gender","Thomas Vincent Kelly","Person",10
"gender","Thora Birch","Person",11
"gender","Thurston Hall","Person",10
"gender","Tiffany Dupont","Person",10
"gender","Tim Jo","Person",10
"gender","Tim Maculan","Person",10
"gender","Tim Talman","Person",10
"gender","Timmy Everett","Person",10
"gender","Timothy Britten Parker","Person",10
"gender","Timothy E. Day","Person",17
"gender","Timothy Farrell","Person",11
"gender","Timothy L. Raynor","Person",12
"gender","Tina Turner","Person",86
"gender","Tito Vuolo","Person",24
"gender","Todd Alcott","Person",11
"gender","Todd Barry","Person",22
"gender","Todd Field","Person",10
"gender","Tom Aldredge","Person",17
"gender","Tom Everett","Person",11
"gender","Tom Fadden","Person",11
"gender","Tom Nagel","Person",10
"gender","Tom Noonan","Person",10
"gender","Tom Patchett","Person",10
"gender","Tom Patricola","Person",10
"gender","Tom Pedi","Person",12
"gender","Tom Verica","Person",10
"gender","Tom Villard","Person",13
"gender","Tommy Farrell","Person",12
"gender","Tommy Noonan","Person",17
"gender","Tommy Reamon","Person",32
"gender","Tony Danza","Person",15
"gender","Tony Papenfuss","Person",10
"gender","Tony Sancho","Person",20
"gender","Tony Tarantino","Person",61
"gender","Tonya Lee Williams","Person",10
"gender","Travis Van Winkle","Person",19
"gender","Troy Gentile","Person",10
"gender","Tura Satana","Person",42
"gender","Tyrese Gibson","Person",11
"gender","Uma Thurman","Person",50
"gender","Val Paul","Person",14
"gender","Valarie Pettiford","Person",10
"gender","Valia Valentinoff","Person",15
"gender","Vanessa Bell Calloway","Person",12
"gender","Vanessa Brown","Person",11
"gender","Vanessa Lee Chester","Person",11
"gender","Veronica Hamel","Person",10
"gender","Vicki Lewis","Person",11
"gender","Victor Aaron","Person",10
"gender","Victor Adamson","Person",11
"gender","Victor Sen Yung","Person",23
"gender","Victor Varconi","Person",12
"gender","Victoria Dillard","Person",11
"gender","Victoria Jackson","Person",10
"gender","Victoria Vetri","Person",10
"gender","Viktor Manoel","Person",23
"gender","Vince Neil","Person",22
"gender","Vincent Gallo","Person",10
"gender","Vincent M. Ward","Person",11
"gender","Vincent Van Patten","Person",10
"gender","Vincent van Patten","Person",1
"gender","Viola Davis","Person",11
"gender","Virginia Grey","Person",13
"gender","Virginia Mayo","Person",11
"gender","Virginia Weidler","Person",11
"gender","W. C. Fields","Person",14
"gender","Wadsworth Harris","Person",12
"gender","Walter Abel","Person",11
"gender","Walter Cartier","Person",22
"gender","Walter Hampden","Person",20
"gender","Walter Olkewicz","Person",12
"gender","Walter Sande","Person",10
"gender","Wanda Hawley","Person",12
"gender","Wanda Sykes","Person",10
"gender","Wang Leehom","Person",10
"gender","Warren Finnerty","Person",11
"gender","Warren Keith","Person",10
"gender","Warren Oates","Person",17
"gender","Warren Vanders","Person",22
"gender","Waylon Payne","Person",39
"gender","Wayne Federman","Person",10
"gender","Webster Campbell","Person",10
"gender","Wedgwood Nowell","Person",11
"gender","Wendell B. Harris Jr.","Person",10
"gender","Wesley Barry","Person",13
"gender","Wesley Jonathan","Person",13
"gender","Whitford Kane","Person",42
"gender","Whitney Houston","Person",90
"gender","Whoopi Goldberg","Person",39
"gender","Wild Bill Elliott","Person",23
"gender","Will Sampson","Person",14
"gender","Willard Mack","Person",32
"gender","Willard Parker","Person",10
"gender","Willem Dafoe","Person",16
"gender","William Alland","Person",11
"gender","William B. Davidson","Person",10
"gender","William B. Mack","Person",10
"gender","William Bakewell","Person",11
"gender","William De Vaull","Person",14
"gender","William Elmer","Person",13
"gender","William Farnum","Person",11
"gender","William G. Schilling","Person",10
"gender","William Gaxton","Person",12
"gender","William Haines","Person",10
"gender","William Hall Jr.","Person",13
"gender","William Harrigan","Person",14
"gender","William Ragsdale","Person",11
"gender","William Sanderson","Person",12
"gender","William T. Kent","Person",12
"gender","William Tannen","Person",10
"gender","William Tepper","Person",10
"gender","William V. Ranous","Person",12
"gender","William Youmans","Person",12
"gender","Willie Aames","Person",10
"gender","Willie C. Carpenter","Person",10
"gender","Wilton Lackaye","Person",22
"gender","Wolfgang Zilzer","Person",22
"gender","Woodrow Parfrey","Person",10
"gender","Yeardley Smith","Person",12
"gender","Yuri Lane","Person",14
"gender","Yusuf Gatewood","Person",10
"gender","Yvette Freeman","Person",10
"gender","Yvette Nicole Brown","Person",11
"gender","Yvette Vickers","Person",10
"gender","Yvonne De Carlo","Person",26
"gender","Yvonne de Carlo","Person",14
"gender","ZaSu Pitts","Person",13
"gender","Zach Villa","Person",11
"gender","Zachary Laoutides","Person",11
"gender","Zander Schloss","Person",10
"gender","Zoe Saldana","Person",14
"gender","Zsa Zsa Gabor","Person",12
"gender","Zulay Henao","Person",10
"gender","abe vigoda","Person",1
"gender","aidan quinn","Person",1
"gender","alex veadov","Person",1
"gender","anne francis","Person",1
"gender","billy gardell","Person",1
"gender","bob newhart","Person",1
"gender","brett halsey","Person",1
"gender","bruce lee","Person",1
"gender","buster keaton","Person",1
"gender","danny kaye","Person",1
"gender","donna reed","Person",1
"gender","eddie lawrence","Person",2
"gender","edgar barrier","Person",1
"gender","frank gillmore","Person",1
"gender","frank novak","Person",1
"gender","fred allen","Person",1
"gender","gabriel mann","Person",1
"gender","ginger rogers","Person",2
"gender","gladys knight","Person",2
"gender","hoagy carmichael","Person",1
"gender","jack oakie","Person",1
"gender","james cagney","Person",1
"gender","janet jackson","Person",1
"gender","jimmy tingle","Person",1
"gender","joan crawford","Person",1
"gender","joe santos","Person",1
"gender","john darrow","Person",1
"gender","john saxon","Person",1
"gender","judy garland","Person",1
"gender","kathy ireland","Person",11
"gender","khandi alexander","Person",1
"gender","matthew faber","Person",1
"gender","nick cannon","Person",1
"gender","paul newman","Person",1
"gender","viktor manoel","Person",1
"gender","zsa zsa gabor","Person",1
"political_ideology","ANARCHIST","XYZ",2
"political_ideology","Anarchism","XYZ",688
"political_ideology","Anarchist","XYZ",169
"political_ideology","Anarchists","XYZ",37
"political_ideology","Anarchy","XYZ",90
"political_ideology","COMMUNISM","XYZ",2
"political_ideology","Capitalism","XYZ",221
"political_ideology","Capitalist","XYZ",16
"political_ideology","Capitalists","XYZ",2
"political_ideology","Centre Left","XYZ",1
"political_ideology","Centre-left","XYZ",12
"political_ideology","Centre-right","XYZ",20
"political_ideology","Communism","XYZ",543
"political_ideology","Communist","XYZ",298
"political_ideology","Communists","XYZ",20
"political_ideology","Conservatism","XYZ",249
"political_ideology","Conservatives","XYZ",12
"political_ideology","DEMOCRACY","XYZ",5
"political_ideology","Democracy","XYZ",1258
"political_ideology","Far Left","XYZ",13
"political_ideology","Far Right","XYZ",3
"political_ideology","Far-left","XYZ",23
"political_ideology","Far-right","XYZ",32
"political_ideology","Fascism","XYZ",1191
"political_ideology","Fascist","XYZ",131
"political_ideology","Fascists","XYZ",30
"political_ideology","Left wing","XYZ",1
"political_ideology","Left-wing","XYZ",162
"political_ideology","Liberalism","XYZ",390
"political_ideology","Liberals","XYZ",21
"political_ideology","Nationalism","XYZ",903
"political_ideology","Nationalist","XYZ",29
"political_ideology","Nationalists","XYZ",3
"political_ideology","Populism","XYZ",219
"political_ideology","Populist","XYZ",12
"political_ideology","Populists","XYZ",6
"political_ideology","Right wing","XYZ",2
"political_ideology","Right-Wing","XYZ",3
"political_ideology","Right-wing","XYZ",175
"political_ideology","Socialism","XYZ",919
"political_ideology","Socialist","XYZ",154
"political_ideology","Socialists","XYZ",49
"political_ideology","anarchism","XYZ",1643
"political_ideology","anarchist","XYZ",579
"political_ideology","anarchists","XYZ",204
"political_ideology","anarchy","XYZ",150
"political_ideology","capitalism","XYZ",1693
"political_ideology","capitalist","XYZ",396
"political_ideology","capitalists","XYZ",17
"political_ideology","center-left","XYZ",22
"political_ideology","center-right","XYZ",17
"political_ideology","centre-left","XYZ",18
"political_ideology","centre-right","XYZ",20
"political_ideology","communism","XYZ",993
"political_ideology","communist","XYZ",634
"political_ideology","communists","XYZ",65
"political_ideology","conservatism","XYZ",1155
"political_ideology","conservatives","XYZ",144
"political_ideology","democracies","XYZ",66
"political_ideology","democracy","XYZ",4479
"political_ideology","far left","XYZ",6
"political_ideology","far right","XYZ",32
"political_ideology","far-left","XYZ",53
"political_ideology","far-right","XYZ",108
"political_ideology","fascism","XYZ",640
"political_ideology","fascist","XYZ",140
"political_ideology","fascists","XYZ",28
"political_ideology","left wing","XYZ",24
"political_ideology","left- wing","XYZ",1
"political_ideology","left-wing","XYZ",442
"political_ideology","liberalism","XYZ",1307
"political_ideology","liberals","XYZ",95
"political_ideology","nationalism","XYZ",5759
"political_ideology","nationalist","XYZ",475
"political_ideology","nationalists","XYZ",134
"political_ideology","populism","XYZ",825
"political_ideology","populist","XYZ",119
"political_ideology","populists","XYZ",19
"political_ideology","right wing","XYZ",28
"political_ideology","right- wing","XYZ",2
"political_ideology","right-wing","XYZ",272
"political_ideology","socialism","XYZ",3209
"political_ideology","socialist","XYZ",830
"political_ideology","socialists","XYZ",220
"profession","Actor","XYZ",43
"profession","Actors","XYZ",325
"profession","Actress","XYZ",1
"profession","Advanced Practice Nurse","XYZ",2
"profession","Advanced practice nurse","XYZ",1
"profession","Advanced practice nurses","XYZ",2
"profession","Aeronautical engineers","XYZ",4
"profession","Anesthesiologist","XYZ",2
"profession","Anesthesiologist Assistant","XYZ",14
"profession","Anesthesiologist Assistants","XYZ",18
"profession","Anesthesiologist assistants","XYZ",37
"profession","Anesthesiologists","XYZ",63
"profession","Animator","XYZ",7
"profession","Animators","XYZ",25
"profession","Anthropologists","XYZ",29
"profession","Application Analyst","XYZ",35
"profession","Application Analysts","XYZ",7
"profession","Archaeologist","XYZ",3
"profession","Archaeologists","XYZ",34
"profession","Archimime","XYZ",1
"profession","Archimimes","XYZ",2
"profession","Architect","XYZ",9
"profession","Architects","XYZ",93
"profession","Artisan","XYZ",18
"profession","Artisans","XYZ",43
"profession","Artistic Director","XYZ",9
"profession","Artistic director","XYZ",3
"profession","Artistic directors","XYZ",20
"profession","Astronaut","XYZ",13
"profession","Astronauts","XYZ",44
"profession","Astronomers","XYZ",25
"profession","Athletic Trainers","XYZ",3
"profession","Athletic trainers","XYZ",6
"profession","Audio Engineers","XYZ",2
"profession","Audio engineer","XYZ",1
"profession","Audio engineers","XYZ",101
"profession","Author","XYZ",167
