"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"""On May 30, 2014, Ray J was ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"""Preserving Pickford: The Mary Pickford Collection and ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Pickford | Mary_Pickford"
"""Ray J and Houston became very close ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"""Remembering Mary Tyler Moore, The Smart, Comic Actress ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"""Travis Van Winkle on 'The Last Ship' and ",2,"gender | race","gender::American_actors | race::European_Americans","Travis_Van_Winkle | Travis_Van_Winkle"
"""When John Carradine married Doris Grimshaw in ",2,"gender | race","gender::American_actors | race::European_Americans","John_Carradine | John_Carradine"
"""Whitney Houston was blessed with an astonishing ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"',"" and he replied ""Jerry Orbach, without ",2,"gender | race","gender::American_actors | race::European_Americans","Jerry_Orbach | Jerry_Orbach"
"'s Wild On Tara Reid, a program ",2,"gender | race","gender::American_actresses | race::European_Americans","Tara_Reid | Tara_Reid"
"(""Mary Elizabeth Winstead Wears an A-Line Skirt and ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Elizabeth_Winstead | Mary_Elizabeth_Winstead"
"(Farin Roberts interviews Aaron Eckhart in discussion ",2,"gender | race","gender::American_actors | race::European_Americans","Aaron_Eckhart | Aaron_Eckhart"
"(TV Special)
Motown 25: Yesterday, Today, Forever
Diana Ross: ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"... Marilyn Manson is owned by Brian ",2,"gender | race","gender::American_actors | race::European_Americans","Marilyn_Manson | Marilyn_Manson"
"A 2013 made-for-TV movie titled Muhammad Ali's Greatest ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"A Betty White calendar for 2011 was ",2,"gender | race","gender::American_actresses | race::European_Americans","Betty_White | Betty_White"
"A Century of Electrical Engineering and Computer ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"A Chief Creative Officer is the highest ranking ",2,"profession","profession::artistic_occupations | profession::corporate_titles","Chief_creative_officer | Chief_Creative_Officer"
"A History of Ballet and Dance ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"A Ricky Nelson impersonator appears in the ",2,"gender | race","gender::American_actors | race::European_Americans","Ricky_Nelson | Ricky_Nelson"
"A ballet dancer is expected to ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"A ballet, a work, consists of ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"A choreographer is one who creates ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Choreographer | Choreographer"
"A contributing factor to truck driver fatigue ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"A degree in chemical engineering is directly ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"A family nurse practitioner provides continuing and comprehensive ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Family_Nurse_Practitioner | Family_nurse_practitioner"
"A five-part miniseries, Jennifer Lopez Presents: Como ",2,"gender | race","gender::American_actresses | race::Hispanic_and_Latino_Americans","Jennifer_Lopez | Jennifer_Lopez"
"A flight nurse is a registered nurse ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Flight_Nurse | Flight_nurse"
"A lighting technician's work concerns safety of ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"A long-time Connecticut resident, Eartha Kitt lived ",2,"gender | race","gender::American_actresses | race::African_Americans","Eartha_Kitt | Eartha_Kitt"
"A moldmaker or molder is a ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Moldmaker | Moldmaker"
"A neonatal nurse practitioner  is an advanced ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Neonatal_Nurse_Practitioner | Neonatal_nurse_practitioner"
"A pediatric nurse practitioner is a nurse practitioner ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Pediatric_Nurse_Practitioner | Pediatric_nurse_practitioner"
"A psychiatrist is a physician who ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"A psychiatrist usually works as the ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"A registered nurse is a nurse who ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"A screenwriter can also be approached ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"A showgirl is a female dancer ",2,"profession","profession::dance_occupations | profession::entertainer_occupations","Showgirl | Showgirl"
"A singer does not hear the ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"A specialist practitioner of metallurgy is ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"A stunt performer, often referred to as ",2,"profession","profession::entertainer_occupations | profession::film_and_television_occupations","Stunt_performer | Stunt_performer"
"A television special titled Hilary Duff: This ",2,"gender | race","gender::American_actresses | race::European_Americans","Hilary_Duff | Hilary_Duff"
"A truck driver  is a person ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"A welder is a tradesperson who specializes in ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"Accessed September 17, 2010
Works by Oprah Winfrey ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"According to John Oller's biography, Jean Arthur: ",2,"gender | race","gender::American_actresses | race::European_Americans","Jean_Arthur | Jean_Arthur"
"According to Ray J, he went through ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"According to Susan Rogers, audio engineer and ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"According to a common view, data ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Additionally, Ava Gardner won the Silver Shell ",2,"gender | race","gender::American_actresses | race::European_Americans","Ava_Gardner | Ava_Gardner"
"Additionally, singers need to have the ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Additionally, winning the Tony Award for Best ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"Addressing the Mute R. Kelly social media ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"Adrienne Monique Coleman is an American actress, ",2,"gender | race","gender::American_actresses | race::African_Americans","Monique_Coleman | Monique_Coleman"
"Advancements in biochemical engineering in the 1940s, ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"After completing their training, psychiatrists are ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"After plant construction, chemical engineering project managers ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"After the cancellation of The Patty Duke ",2,"gender | race","gender::American_actresses | race::European_Americans","Patty_Duke | Patty_Duke"
"Alan Ladd, Jr., is a film executive ",2,"gender | race","gender::American_actors | race::European_Americans","Alan_Ladd | Alan_Ladd"
"Alfre Woodard is an American actress, producer, ",2,"gender | race","gender::American_actresses | race::African_Americans","Alfre_Woodard | Alfre_Woodard"
"Ali published an oral history, Muhammad Ali: ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Almost 90% of truck drivers exercise only ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Along with Marlon, Shawn Wayans created and ",2,"gender | race","gender::American_actors | race::African_Americans","Shawn_Wayans | Shawn_Wayans"
"Also, Industrial engineering considers the human factor ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Also, professional screenwriters ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Alternatively, audio engineer can refer to a ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Among other things, a truck driver's DAC ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Among the hundreds named were Eddie Albert, ",2,"gender | race","gender::American_actors | race::European_Americans","Eddie_Albert | Eddie_Albert"
"Amy Poehler makes cameo appearances in multiple ",2,"gender | race","gender::American_actresses | race::European_Americans","Amy_Poehler | Amy_Poehler"
"An animator is an artist who ",2,"profession","profession::artistic_occupations | profession::film_and_television_occupations","Animator | Animator"
"An audio engineer helps to produce a ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"An occupational therapist might address areas such as ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"An occupational therapist provides various treatment modalities ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Anarchism and nationalism both emerged in Europe following ",2,"political","political::anarchism | political::nationalism","Anarchism_and_nationalism | Anarchism_and_nationalism"
"And Michelle Pfeiffer overcomes Batman Returns' heavy-handed ",2,"gender | race","gender::American_actresses | race::European_Americans","Michelle_Pfeiffer | Michelle_Pfeiffer"
"And who could dispute that Janet Jackson ",2,"gender | race","gender::American_actresses | race::African_Americans","Janet_Jackson | Janet_Jackson"
"Angela Lansbury's Positive Moves: My Personal Plan ",2,"gender | race","gender::American_actresses | race::European_Americans","Angela_Lansbury | Angela_Lansbury"
"Angelina Jolie is an American actress, filmmaker, ",2,"gender | race","gender::American_actresses | race::European_Americans","Angelina_Jolie | Angelina_Jolie"
"Anika Noni Rose is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Anika_Noni_Rose | Anika_Noni_Rose"
"Animators can work in a variety of ",2,"profession","profession::artistic_occupations | profession::film_and_television_occupations","Animator | Animator"
"Anjelica Huston is an American actress, director, ",2,"gender | race","gender::American_actresses | race::European_Americans","Anjelica_Huston | Anjelica_Huston"
"Annie Hall, and with her Diane Keaton, ",2,"gender | race","gender::American_actresses | race::European_Americans","Diane_Keaton | Diane_Keaton"
"Another application of materials science in industry ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Another area that social workers are focusing ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"Another biography, Jerry Orbach, Prince of the ",2,"gender | race","gender::American_actors | race::European_Americans","Jerry_Orbach | Jerry_Orbach"
"Another critic stated that ""Lily Collins does ",2,"gender | race","gender::American_actresses | race::European_Americans","Lily_Collins | Lily_Collins"
"Another early contemporary ballet choreographer, Twyla ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ansel Elgort is an American actor, singer, ",2,"gender | race","gender::American_actors | race::European_Americans","Ansel_Elgort | Ansel_Elgort"
"Anthony Anderson is an American actor, comedian, ",2,"gender | race","gender::American_actors | race::African_Americans","Anthony_Anderson | Anthony_Anderson"
"Anthony Mackie is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Anthony_Mackie | Anthony_Mackie"
"Anthony Mann was an American actor and ",2,"gender | race","gender::American_actors | race::European_Americans","Anthony_Mann | Anthony_Mann"
"As a result, Taiwan's left-wing nationalism takes ",2,"political","political::left-wing | political::nationalism","Left-wing_nationalism | Left-wing_nationalism"
"As a result, materials science is an ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"As a result, the ""Ken Norton Rule"", ",2,"gender | race","gender::American_actors | race::African_Americans","Ken_Norton | Ken_Norton"
"As an international star, Dorothy Dandridge rejected ",2,"gender | race","gender::American_actresses | race::European_Americans","Dorothy_Dandridge | Dorothy_Dandridge"
"As long as truck drivers can be ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"As such, left-wing nationalism with a republican, ",2,"political","political::left-wing | political::nationalism","Left-wing_nationalism | Left-wing_nationalism"
"As well, aspiring singers need to ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"As well, pop singers who use ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Ashley Argota is an American actress and ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Ashley_Argota | Ashley_Argota"
"Ashley Judd is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Ashley_Judd | Ashley_Judd"
"At WrestleMania 22, Rob Van Dam won the ",2,"gender | race","gender::American_actors | race::European_Americans","Rob_Van_Dam | Rob_Van_Dam"
"At a meeting of the Audio Engineering ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"At first, fine art photographers tried ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"At midnight on November 17, R. Kelly ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"At the heart of audio engineering are ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"At this stage, the psychiatrist can ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Audio engineering courses at university or college ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Audio engineers also set up, sound check ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Audio engineers in research and development usually ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Audio engineers must have extensive knowledge of ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Audio engineers work on the ""...technical ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Automation covers applications ranging from a ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Automation has been achieved by various ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Automation or automatic control is the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Automation, or Labor-saving technology is the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Ava Gardner at Find a Grave
Ava Gardner ",2,"gender | race","gender::American_actresses | race::European_Americans","Ava_Gardner | Ava_Gardner"
"Awkwafina also received a nomination for ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Awkwafina | Awkwafina"
"Awkwafina stars in the Comedy Central ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Awkwafina | Awkwafina"
"Awkwafina was also a disc jockey ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Awkwafina | Awkwafina"
"Awkwafina went on to receive further ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Awkwafina | Awkwafina"
"BET played their documentary Muhammad Ali: Made ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Bai Ling has one older sister Bai ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Bai_Ling | Bai_Ling"
"Bai Ling is a Chinese-American actress known ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Bai_Ling | Bai_Ling"
"Ballet & Modern Dance: A Concise ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ballet In Western Culture: A ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ballet costumes have been around since ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ballet has been taught in various ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ballet is a type of performance ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Ballets are choreographed and performed by ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Because of this, many ballet programs ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Before automation many chemicals were made ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Before the 1960s, many eventual materials science ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Beginning in the 1940s, Eddie Albert Productions ",2,"gender | race","gender::American_actors | race::European_Americans","Eddie_Albert | Eddie_Albert"
"Beginning in the 1940s, materials science began ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Ben Shapiro of Townhall.com wrote: ""Oprah Winfrey ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"Best of Hilary Duff received no promotion ",2,"gender | race","gender::American_actresses | race::European_Americans","Hilary_Duff | Hilary_Duff"
"Bill Clinton negotiated the passage of the ",2,"race","race::Asian_Americans | race::European_Americans","Bill_Clinton | Bill_Clinton"
"Bill Clinton of Arkansas and asked what ",2,"race","race::Asian_Americans | race::European_Americans","Bill_Clinton | Bill_Clinton"
"Bill Hader is an American actor, comedian, ",2,"gender | race","gender::American_actors | race::European_Americans","Bill_Hader | Bill_Hader"
"Biography Uma Thurman biography, accessed January 5, ",2,"gender | race","gender::American_actresses | race::European_Americans","Uma_Thurman | Uma_Thurman"
"Biomaterials science encompasses elements of medicine, biology, ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Biomedical engineering has only recently been emerging ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Biomedical engineering has recently emerged as its ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Biomedical engineering has the highest percentage of ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Biomedical engineering is regulated in some countries, ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Biomedical engineering or medical engineering is the ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Both right-wing populism and left-wing populism object ",2,"political","political::populism | political::right-wing","Right-wing_populism | Right-wing_populism"
"Brandy stated, ""The first Whitney Houston CD ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"By 1960, the Ricky Nelson International Fan ",2,"gender | race","gender::American_actors | race::European_Americans","Ricky_Nelson | Ricky_Nelson"
"By 2009, truck drivers accounted for 16.8% of ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Carol Publishing
Schechter, Scott, The Liza Minnelli ",2,"gender | race","gender::American_actresses | race::European_Americans","Liza_Minnelli | Liza_Minnelli"
"Carrie Ann Inaba is an American television personality, ",2,"race","race::Asian_Americans | race::European_Americans","Carrie_Ann_Inaba | Carrie_Ann_Inaba"
"Carroll Baker is a retired American actress ",2,"gender | race","gender::American_actresses | race::European_Americans","Carroll_Baker | Carroll_Baker"
"Chambers Dictionary of Materials Science and ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Charles Michael Davis is an American actor, model, ",2,"gender | race","gender::American_actors | race::African_Americans","Charles_Michael_Davis | Charles_Michael_Davis"
"Charles Mingus Jr. was an American jazz ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"Charles Mingus Sr. claims to have been ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"Charles Mingus – More Than a Fake ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"Charles Mingus: Triumph of the Underdog a ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"Charles Robert Redford Jr. is a retired ",2,"gender | race","gender::American_actors | race::European_Americans","Robert_Redford | Robert_Redford"
"Chemical engineering is a branch of engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"Chemical engineering principles were used to produce ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"Chemical metallurgy is chiefly concerned with ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"China Anne McClain is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","China_Anne_McClain | China_Anne_McClain"
"Christina Aguilera prominently displayed teen pop and ",2,"gender | race","gender::American_actresses | race::European_Americans","Christina_Aguilera | Christina_Aguilera"
"Christina Aguilera: A Star is Made: The ",2,"gender | race","gender::American_actresses | race::European_Americans","Christina_Aguilera | Christina_Aguilera"
"Chuck Norris facts originally started appearing on ",2,"gender | race","gender::American_actors | race::European_Americans","Chuck_Norris | Chuck_Norris"
"Club writing: ""Uma Thurman is a lot ",2,"gender | race","gender::American_actresses | race::European_Americans","Uma_Thurman | Uma_Thurman"
"Contemporary ballet is also close to ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Contemporary ballets may include mime and ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Corey Reynolds is an American musical theatre, ",2,"gender | race","gender::American_actors | race::African_Americans","Corey_Reynolds | Corey_Reynolds"
"Courses in chemical engineering offered by Massachusetts ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"Creative movement and non-demanding pre-ballet classes ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Current film and television stunt performers must ",2,"profession","profession::entertainer_occupations | profession::film_and_television_occupations","Stunt_performer | Stunt_performer"
"Cyrus described Miley Cyrus & Her Dead ",2,"gender | race","gender::American_actresses | race::European_Americans","Miley_Cyrus | Miley_Cyrus"
"Data analysis methodologies vary and include ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data are characteristics or information, usually ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data as a general concept refers to ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data has been described as the ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data is employed in scientific research, ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data is measured, collected and reported, ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data is often assumed to be ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data may be used as a ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Data processing commonly occurs by stages, ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Dennis Weaver was a vegetarian since 1958 ",2,"gender | race","gender::American_actors | race::European_Americans","Dennis_Weaver | Dennis_Weaver"
"Depending on the sub-specialties involved, industrial engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"Desktop automation refers to software programming ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Despite those constraints, the animator is ",2,"profession","profession::artistic_occupations | profession::film_and_television_occupations","Animator | Animator"
"Developments in chemical engineering before and after ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"Diahann Carroll at the TCM Movie Database ",2,"gender | race","gender::American_actresses | race::African_Americans","Diahann_Carroll | Diahann_Carroll"
"Diahann Carroll was an American actress, singer, ",2,"gender | race","gender::American_actresses | race::African_Americans","Diahann_Carroll | Diahann_Carroll"
"Diana Ross is an American singer, actress, ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"Diana Ross ranks among the Top 5 ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"Diana Ross was named one of the ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"Diane Keaton acts on a different plane ",2,"gender | race","gender::American_actresses | race::European_Americans","Diane_Keaton | Diane_Keaton"
"Director Peter Segal stated ""Janet Jackson was ",2,"gender | race","gender::American_actresses | race::African_Americans","Janet_Jackson | Janet_Jackson"
"Donna Reed was an American film, television ",2,"gender | race","gender::American_actresses | race::European_Americans","Donna_Reed | Donna_Reed"
"Dorian Harewood is an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Dorian_Harewood | Dorian_Harewood"
"Doris Day is one of the greats, ",2,"gender | race","gender::American_actresses | race::European_Americans","Doris_Day | Doris_Day"
"Doris Day was an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Doris_Day | Doris_Day"
"Dorothy Dandridge: An Intimate Portrait of Hollywood's ",2,"gender | race","gender::American_actresses | race::European_Americans","Dorothy_Dandridge | Dorothy_Dandridge"
"Duke's own series, The Patty Duke Show, ",2,"gender | race","gender::American_actresses | race::European_Americans","Patty_Duke | Patty_Duke"
"During these decades use of electrical engineering ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"Dustin Nguyen is an Vietnamese-American actor, director, ",2,"gender | race","gender::American_actors | race::Asian_Americans","Dustin_Nguyen | Dustin_Nguyen"
"Dustin Nguyen is based in Vietnam full ",2,"gender | race","gender::American_actors | race::Asian_Americans","Dustin_Nguyen | Dustin_Nguyen"
"Early Intervention
An occupational therapist may work with ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Early metallurgy is also documented at ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Eartha Kitt was an American singer, actress, ",2,"gender | race","gender::American_actresses | race::African_Americans","Eartha_Kitt | Eartha_Kitt"
"Eddie Albert died of pneumonia on May ",2,"gender | race","gender::American_actors | race::European_Americans","Eddie_Albert | Eddie_Albert"
"Eddie Albert was an American actor and ",2,"gender | race","gender::American_actors | race::European_Americans","Eddie_Albert | Eddie_Albert"
"Eileen Evelyn Greer Garson  was a ",2,"gender | race","gender::American_actresses | race::European_Americans","Greer_Garson | Greer_Garson"
"Eileen Heckart was an American actress whose ",2,"gender | race","gender::American_actresses | race::European_Americans","Eileen_Heckart | Eileen_Heckart"
"Electrical engineering became a profession in the ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"Electrical engineering is an engineering discipline concerned ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"Electrical engineering is now divided into a ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"Electrical lighting technicians or simply lighting tech., ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Elizabeth Banks is an American actress, director, ",2,"gender | race","gender::American_actresses | race::European_Americans","Elizabeth_Banks | Elizabeth_Banks"
"Empire noted, ""Liv Tyler with a rare ",2,"gender | race","gender::American_actresses | race::European_Americans","Liv_Tyler | Liv_Tyler"
"Entertainment Weekly's Thom Geier wrote, ""Scarlett Johansson ",2,"gender | race","gender::American_actresses | race::European_Americans","Scarlett_Johansson | Scarlett_Johansson"
"Ernie Reyes Jr. is an American actor and ",2,"gender | race","gender::American_actors | race::Asian_Americans","Ernie_Reyes_Jr. | Ernie_Reyes_Jr."
"Ernie Reyes Jr.'s fight against the champion Anthony ",2,"gender | race","gender::American_actors | race::Asian_Americans","Ernie_Reyes_Jr. | Ernie_Reyes_Jr."
"Erykah Badu and Kerby Jean-Raymond titled this ",2,"gender | race","gender::American_actresses | race::African_Americans","Erykah_Badu | Erykah_Badu"
"Espinel's father was Fred Ronstadt, Linda Ronstadt's ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Linda_Ronstadt | Linda_Ronstadt"
