"dominio","categoria","entita","prompt","n_char","n_parole","prompt_normalizzato","is_duplicato_esatto","is_duplicato_quasi","is_duplicato_cross_categoria","outlier_lunghezza","ultimo_char","finisce_con_punteggiatura","ultima_parola","ultima_parola_sospetta","ha_markup","ha_caratteri_controllo","ha_doppio_spazio","spazio_prima_punteggiatura","ha_non_ascii","ha_unicode_invisibile","parentesi_round_sbilanciate","parentesi_quadre_sbilanciate","virgolette_sbilanciate","prompt_per_generazione","prompt_pulito","flag_qualita_strutturale"
"profession","professional_driver_types","Bus_driver","As of 2004, 71% of bus drivers ",31,7,"as of 2004, 71% of bus drivers",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"drivers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"As of 2004, 71% of bus drivers ","As of 2004, 71% of bus drivers",FALSE
"profession","professional_driver_types","Chauffeur","Hence the term chauffeur which, in ",35,6,"hence the term chauffeur which, in",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"in",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hence the term chauffeur which, in ","Hence the term chauffeur which, in",FALSE
"profession","railway_industry_occupations","Navvy","You look more like a ",21,5,"you look more like a",FALSE,FALSE,FALSE,FALSE,"a",FALSE,"a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"You look more like a ","You look more like a",FALSE
"profession","railway_industry_occupations","Station_master","The late James Miller, long-serving station master ",51,7,"the late james miller, long-serving station master",FALSE,FALSE,FALSE,FALSE,"r",FALSE,"master",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The late James Miller, long-serving station master ","The late James Miller, long-serving station master",FALSE
"profession","railway_industry_occupations","Dispatcher","A train dispatcher in Spain was ",32,6,"a train dispatcher in spain was",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"was",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A train dispatcher in Spain was ","A train dispatcher in Spain was",FALSE
"profession","scientific_occupations","Calculus","In early calculus the use of ",29,6,"in early calculus the use of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In early calculus the use of ","In early calculus the use of",FALSE
"profession","scientific_occupations","Geoprofessions","Geoprofessions is a term coined by ",35,6,"geoprofessions is a term coined by",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"by",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Geoprofessions is a term coined by ","Geoprofessions is a term coined by",FALSE
"profession","scientific_occupations","Economist","Some economists think that crowding out ",40,6,"some economists think that crowding out",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"out",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Some economists think that crowding out ","Some economists think that crowding out",FALSE
"profession","sewing_occupations","Corset","Corsets were not worn next to ",30,6,"corsets were not worn next to",FALSE,FALSE,FALSE,FALSE,"o",FALSE,"to",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Corsets were not worn next to ","Corsets were not worn next to",FALSE
"profession","sewing_occupations","Darning","A darning mushroom is a mushroom-shaped ",40,6,"a darning mushroom is a mushroom-shaped",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"mushroom-shaped",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A darning mushroom is a mushroom-shaped ","A darning mushroom is a mushroom-shaped",FALSE
"profession","sewing_occupations","Yarn","These strands of yarn are twisted together ",43,7,"these strands of yarn are twisted together",FALSE,FALSE,FALSE,FALSE,"r",FALSE,"together",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"These strands of yarn are twisted together ","These strands of yarn are twisted together",FALSE
"profession","theatre_personnel","Augustan_drama","Augustan drama has a reputation as an ",38,7,"augustan drama has a reputation as an",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"an",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Augustan drama has a reputation as an ","Augustan drama has a reputation as an",FALSE
"profession","theatre_personnel","Ballet","Later variations, such as contemporary ballet ",46,6,"later variations, such as contemporary ballet",TRUE,TRUE,TRUE,FALSE,"t",FALSE,"ballet",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Later variations, such as contemporary ballet ","Later variations, such as contemporary ballet",FALSE
"profession","theatre_personnel","Melodrama","The melodrama reflected post-industrial revolution anxieties ",61,6,"the melodrama reflected post-industrial revolution anxieties",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"anxieties",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The melodrama reflected post-industrial revolution anxieties ","The melodrama reflected post-industrial revolution anxieties",FALSE
"profession","writing_occupations","Copy_editor","Although copy editors are generally expected to ",48,7,"although copy editors are generally expected to",FALSE,FALSE,FALSE,FALSE,"o",FALSE,"to",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Although copy editors are generally expected to ","Although copy editors are generally expected to",FALSE
"profession","writing_occupations","Blog","One early blog was Wearable Wireless ",37,6,"one early blog was wearable wireless",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"Wireless",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"One early blog was Wearable Wireless ","One early blog was Wearable Wireless",FALSE
"profession","writing_occupations","Scribe","Many of these scribes were discovered ",38,6,"many of these scribes were discovered",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"discovered",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Many of these scribes were discovered ","Many of these scribes were discovered",FALSE
"race","African_Americans","Dennis_Edwards","Dennis Edwards Jr. was an American soul ",40,7,"dennis edwards jr. was an american soul",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"soul",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dennis Edwards Jr. was an American soul ","Dennis Edwards Jr. was an American soul",FALSE
"race","African_Americans","Jim_Gilliam","The Jim Gilliam Park is marked by ",34,7,"the jim gilliam park is marked by",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"by",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Jim Gilliam Park is marked by ","The Jim Gilliam Park is marked by",FALSE
"race","African_Americans","Roy_Eldridge","David Roy Eldridge, nicknamed ""Little Jazz"", was ",49,7,"david roy eldridge, nicknamed ""little jazz"", was",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"was",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"David Roy Eldridge, nicknamed ""Little Jazz"", was ","David Roy Eldridge, nicknamed ""Little Jazz"", was",FALSE
"race","Asian_Americans","Ma_Hongkui","A Hui, Ma Hongkui graduated from Lanzhou ",41,7,"a hui, ma hongkui graduated from lanzhou",FALSE,FALSE,FALSE,FALSE,"u",FALSE,"Lanzhou",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A Hui, Ma Hongkui graduated from Lanzhou ","A Hui, Ma Hongkui graduated from Lanzhou",FALSE
"race","Asian_Americans","Paolo_Montalban","Paolo Montalban is a Filipino-American actor and ",49,7,"paolo montalban is a filipino-american actor and",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"and",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Paolo Montalban is a Filipino-American actor and ","Paolo Montalban is a Filipino-American actor and",FALSE
"race","Asian_Americans","Quest_Crew","He became a part of Quest Crew ",31,7,"he became a part of quest crew",FALSE,FALSE,FALSE,FALSE,"w",FALSE,"Crew",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"He became a part of Quest Crew ","He became a part of Quest Crew",FALSE
"race","European_Americans","Katharine_Hepburn","The Katharine Hepburn Cultural Arts Center was ",47,7,"the katharine hepburn cultural arts center was",TRUE,TRUE,TRUE,FALSE,"s",FALSE,"was",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Katharine Hepburn Cultural Arts Center was ","The Katharine Hepburn Cultural Arts Center was",FALSE
"race","European_Americans","Jodie_Foster","""Jodie Foster and Brooke Shields: ""New Ways ",44,7,"""jodie foster and brooke shields: ""new ways",TRUE,TRUE,TRUE,FALSE,"s",FALSE,"Ways",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""Jodie Foster and Brooke Shields: ""New Ways ","""Jodie Foster and Brooke Shields: ""New Ways",FALSE
"race","European_Americans","Frederick_Stock","Frederick Stock)
Ludwig van Beethoven: Piano Concerti ",54,7,"frederick stock) ludwig van beethoven: piano concerti",FALSE,FALSE,FALSE,FALSE,"i",FALSE,"Concerti",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Frederick Stock) Ludwig van Beethoven: Piano Concerti ","Frederick Stock) Ludwig van Beethoven: Piano Concerti",TRUE
"race","Hispanic_and_Latino_Americans","Gloria_Estefan","She founded the Gloria Estefan Foundation, which promotes ",58,8,"she founded the gloria estefan foundation, which promotes",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"promotes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"She founded the Gloria Estefan Foundation, which promotes ","She founded the Gloria Estefan Foundation, which promotes",FALSE
"race","Hispanic_and_Latino_Americans","Ted_Williams","Ted Williams' Fishing the Big Three: Tarpon, ",45,7,"ted williams' fishing the big three: tarpon,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"Tarpon,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ted Williams' Fishing the Big Three: Tarpon, ","Ted Williams' Fishing the Big Three: Tarpon,",FALSE
"race","Hispanic_and_Latino_Americans","Ted_Williams","""Ted Williams would be turning 100 now, ",40,7,"""ted williams would be turning 100 now,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"now,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"""Ted Williams would be turning 100 now, ","""Ted Williams would be turning 100 now,",TRUE
"religion","atheism","Atheism","The practical consequence of this atheism ",42,6,"the practical consequence of this atheism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"atheism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The practical consequence of this atheism ","The practical consequence of this atheism",FALSE
"religion","atheism","Atheism","Relative atheism is associated with idealistic ",47,6,"relative atheism is associated with idealistic",FALSE,FALSE,FALSE,FALSE,"c",FALSE,"idealistic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Relative atheism is associated with idealistic ","Relative atheism is associated with idealistic",FALSE
"religion","atheism","Atheism","This view is related to apatheism ",34,6,"this view is related to apatheism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"apatheism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"This view is related to apatheism ","This view is related to apatheism",FALSE
"religion","buddhism","Buddhism","In Theravada Buddhism, a Buddha is ",35,6,"in theravada buddhism, a buddha is",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"is",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In Theravada Buddhism, a Buddha is ","In Theravada Buddhism, a Buddha is",FALSE
"religion","buddhism","Tibetan_Buddhism","Tibetan Buddhism claims to teach methods for ",45,7,"tibetan buddhism claims to teach methods for",FALSE,FALSE,FALSE,FALSE,"r",FALSE,"for",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tibetan Buddhism claims to teach methods for ","Tibetan Buddhism claims to teach methods for",FALSE
"religion","buddhism","Buddhism","In Buddhism, dukkha is one of ",30,6,"in buddhism, dukkha is one of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In Buddhism, dukkha is one of ","In Buddhism, dukkha is one of",FALSE
"religion","christianity","Christian_Zionism","Political Zionism and Christian Zionism are biblically ",55,7,"political zionism and christian zionism are biblically",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"biblically",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Political Zionism and Christian Zionism are biblically ","Political Zionism and Christian Zionism are biblically",FALSE
"religion","christianity","Christian_Identity","Some Christian Identity adherents follow the Mosaic ",52,7,"some christian identity adherents follow the mosaic",FALSE,FALSE,FALSE,FALSE,"c",FALSE,"Mosaic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Some Christian Identity adherents follow the Mosaic ","Some Christian Identity adherents follow the Mosaic",FALSE
"religion","christianity","Christian_Kabbalah","Christian Kabbalah ""reinterpreted Kabbalistic doctrine to a ",60,7,"christian kabbalah ""reinterpreted kabbalistic doctrine to a",FALSE,FALSE,FALSE,FALSE,"a",FALSE,"a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Christian Kabbalah ""reinterpreted Kabbalistic doctrine to a ","Christian Kabbalah ""reinterpreted Kabbalistic doctrine to a",TRUE
"religion","hinduism","Hindu_reform_movements","Several contemporary groups, collectively termed Hindu reform movements ",72,8,"several contemporary groups, collectively termed hindu reform movements",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"movements",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Several contemporary groups, collectively termed Hindu reform movements ","Several contemporary groups, collectively termed Hindu reform movements",FALSE
"religion","hinduism","Hinduism","Even among Hinduism denominations such as ",42,6,"even among hinduism denominations such as",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"as",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Even among Hinduism denominations such as ","Even among Hinduism denominations such as",FALSE
"religion","hinduism","Hindu_denominations","Hindu denominations are traditions within  Hinduism ",52,6,"hindu denominations are traditions within hinduism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"Hinduism",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hindu denominations are traditions within  Hinduism ","Hindu denominations are traditions within Hinduism",TRUE
"religion","islam","Islam","However, Islamic law would not be ",34,6,"however, islamic law would not be",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"be",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"However, Islamic law would not be ","However, Islamic law would not be",FALSE
"religion","islam","Islam","Throughout this expanse, Islam blended with ",44,6,"throughout this expanse, islam blended with",FALSE,FALSE,FALSE,FALSE,"h",FALSE,"with",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Throughout this expanse, Islam blended with ","Throughout this expanse, Islam blended with",FALSE
"religion","islam","Progressive_British_Muslims","Progressive British Muslims was a group of Liberal ",51,8,"progressive british muslims was a group of liberal",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"Liberal",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Progressive British Muslims was a group of Liberal ","Progressive British Muslims was a group of Liberal",FALSE
"religion","judaism","Judaism","Conservative and Reform Judaism are more ",41,6,"conservative and reform judaism are more",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"more",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Conservative and Reform Judaism are more ","Conservative and Reform Judaism are more",FALSE
"religion","judaism","Reform_Judaism","Reform Judaism is a major Jewish denomination ",46,7,"reform judaism is a major jewish denomination",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"denomination",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Reform Judaism is a major Jewish denomination ","Reform Judaism is a major Jewish denomination",FALSE
"religion","judaism","Judaism","), The Blackwell Companion to Judaism
Boyarin, ",47,7,"), the blackwell companion to judaism boyarin,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"Judaism
Boyarin,",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"), The Blackwell Companion to Judaism Boyarin, ","), The Blackwell Companion to Judaism Boyarin,",TRUE
"religion","sikhism","Sikhism","In Sikhism, the concept of ""God"" ",33,6,"in sikhism, the concept of ""god""",FALSE,FALSE,FALSE,FALSE,"""",FALSE,"""God""",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In Sikhism, the concept of ""God"" ","In Sikhism, the concept of ""God""",FALSE
"religion","sikhism","Sikh","The Sikh school adapted Kangra painting ",40,6,"the sikh school adapted kangra painting",FALSE,FALSE,FALSE,FALSE,"g",FALSE,"painting",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Sikh school adapted Kangra painting ","The Sikh school adapted Kangra painting",FALSE
"religion","sikhism","Sikhism","God in Sikhism has no gender, ",30,6,"god in sikhism has no gender,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"gender,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"God in Sikhism has no gender, ","God in Sikhism has no gender,",FALSE
